Supplementary Table 7. Mutational signature activity across all tumors ,,,,,,,,,,
pair_id,S1,S5,S6,S7,S11,S17,S2,S4,S13,S10
MEL-IPI_Pat32-TP-NT-SM-53U3T-SM-53U67,6.44E-14,102.3217011,2.56E-32,763.5647898,167.7726209,0.266456241,NA,NA,NA,NA
MEL-IPI_Pat39-TP-NB-SM-4DK1Z-SM-4NFV6,41.29473507,17.58623547,3.71E-17,49.28855842,0.015921265,2.03E-15,NA,NA,NA,NA
MEL-IPI_Pat41-TP-NT-SM-4DK22-SM-53U5O,3.895004902,82.60586104,3.47E-16,403.5211243,65.73336518,1.621374995,NA,NA,NA,NA
MEL-IPI_Pat43-TP-NB-SM-4DK24-SM-4NFVA,42.16129372,182.3293188,5.01E-05,79.53953902,1.50E-10,1.71E-11,NA,NA,NA,NA
MEL-IPI_Pat45-TP-NT-SM-4DK26-SM-53U5R,4.43E-56,8.41E-07,5.21E-68,1115.913029,254.540231,0.002116816,NA,NA,NA,NA
MEL-IPI_Pat46-TP-NT-SM-53U48-SM-53U5S,14.04204679,110.7469869,2.23E-07,222.6027885,90.17949421,1.968217322,NA,NA,NA,NA
MEL-IPI_Pat47-TP-NT-SM-4DK28-SM-53U5U,1.29E-17,65.62527287,2.90E-20,98.78093942,55.27621836,3.49E-12,NA,NA,NA,NA
MEL-IPI_Pat49-TP-NT-SM-4DK2A-SM-53U5W,1.12E-50,0.405689902,7.53E-61,702.8589162,201.7027961,5.288274938,NA,NA,NA,NA
MEL-IPI_Pat50-TP-NT-SM-53U69-SM-53U5X,1.18E-22,11.39081901,5.24E-35,444.4660291,195.7245836,5.27E-08,NA,NA,NA,NA
MEL-IPI_Pat52-TP-NT-SM-4DK2D-SM-53U5Z,4.11E-77,4.28E-09,1.25E-103,382.8635724,152.509746,4.11E-12,NA,NA,NA,NA
MEL-IPI_Pat54-TP-NB-SM-4DK2F-SM-4NFVL,2.35E-43,0.000470424,1.14E-64,984.1475107,299.684573,0.138929845,NA,NA,NA,NA
MEL-IPI_Pat55-TP-NB-SM-4DK2G-SM-4NFVM,9.62E-25,49.91146027,2.89E-41,370.9150314,255.4409224,0.028346167,NA,NA,NA,NA
MEL-IPI_Pat56-TP-NB-SM-4DK2H-SM-4NFVN,17.72869658,51.31437013,4.04E-17,0.011052856,4.237872962,0.012091022,NA,NA,NA,NA
MEL-IPI_Pat57-TP-NB-SM-4DK2I-SM-4NFVO,21.9384197,9.504127467,8.47E-13,34.72835168,8.606033165,5.787417018,NA,NA,NA,NA
MEL-IPI_Pat58-TP-NB-SM-4DK2J-SM-4NFVP,3.03E-119,1.12E-17,3.17E-115,12.09873099,3877.987408,5.96E-22,NA,NA,NA,NA
MEL-IPI_Pat59-TP-NB-SM-4DK2K-SM-4NFVQ,4.26E-23,10.40256465,3.04E-33,270.5855667,146.6156064,1.277075409,NA,NA,NA,NA
MEL-IPI_Pat60-TP-NB-SM-4DK2L-SM-4NFVR,3.38E-71,7.75E-09,1.77E-91,817.8286297,304.5288149,1.61E-13,NA,NA,NA,NA
MEL-IPI_Pat61-TP-NB-SM-4DK2M-SM-4NFVS,2.91E-33,9.480796008,4.380389802,2.485561634,0.226244136,6.49E-50,NA,NA,NA,NA
MEL-IPI_Pat62-TP-NB-SM-4DK2N-SM-4NFVT,1.17E-38,0.398606247,3.64E-45,1163.955822,1119.937612,3.257972961,NA,NA,NA,NA
MEL-IPI_Pat64-TP-NB-SM-4DK2P-SM-4NFVV,2.35E-34,46.97608962,5.07E-50,780.0004642,79.16866973,11.20176414,NA,NA,NA,NA
MEL-IPI_Pat66-TP-NB-SM-4DK2R-SM-4NFVX,1.46E-30,46.52962371,3.08E-45,240.3224561,128.944484,1.843998694,NA,NA,NA,NA
MEL-IPI_Pat67-TP-NB-SM-4DK2S-SM-4NFVY,6.348006554,16.820537,4.41E-50,1.755187395,1.26E-28,2.325064775,NA,NA,NA,NA
MEL-IPI_Pat71-TP-NB-SM-4DK2W-SM-4NFW3,3.48E-61,0.00015307,1.92E-82,959.6302321,211.2219331,0.042450204,NA,NA,NA,NA
MEL-IPI_Pat73-TP-NB-SM-4DK2Y-SM-4NFW5,2.85E-65,48.81765609,4.15E-80,200.5939492,58.0038361,5.15E-09,NA,NA,NA,NA
MEL-IPI_Pat74-TP-NB-SM-4DK2Z-SM-4NFW6,1.21E-18,40.37697323,1.29E-33,570.9664835,151.9503771,0.402166406,NA,NA,NA,NA
MEL-IPI_Pat76-TP-NB-SM-4DK32-SM-4NFW8,0.000208909,12.97521246,6.32E-25,185.7342492,92.14150278,0.315920211,NA,NA,NA,NA
MEL-IPI_Pat77-TP-NT-SM-4DK33-SM-53U63,3.03E-63,4.49E-07,2.57E-84,392.9975247,121.19735,4.26E-20,NA,NA,NA,NA
MEL-IPI_Pat79-TP-NB-SM-53U2S-SM-4NFWB,7.88E-29,0.050854493,1.66E-53,368.1371634,71.74711345,1.67E-18,NA,NA,NA,NA
MEL-IPI_Pat80-TP-NT-SM-4DK36-SM-53U53,6.21E-30,173.7114475,1.12E-42,3.96E-29,116.0420744,6.72E-37,NA,NA,NA,NA
MEL-IPI_Pat81-TP-NB-SM-4DK37-SM-4NFWD,27.72149652,74.72783211,1.05E-05,8.672660553,1.33E-41,9.611435813,NA,NA,NA,NA
MEL-IPI_Pat82-TP-NT-SM-4DK38-SM-53U55,1.01E-28,122.0396475,7.03E-44,379.3560505,132.1684769,0.000431675,NA,NA,NA,NA
MEL-IPI_Pat83-TP-NT-SM-53U2W-SM-53U56,29.65177078,1.84E-06,3.49E-51,40.13866588,6.79E-59,2.331042047,NA,NA,NA,NA
MEL-IPI_Pat85-TP-NB-SM-53U2Y-SM-4NFWH,2.52E-18,114.5022676,3.86E-34,519.7520966,70.43132754,8.414491459,NA,NA,NA,NA
MEL-IPI_Pat86-TP-NT-SM-4DK3C-SM-53U59,14.12408304,24.55942473,0.002316704,42.34239712,20.40936765,1.95E-42,NA,NA,NA,NA
MEL-IPI_Pat87-TP-NT-SM-4DK3D-SM-53U5A,9.52362582,37.78726705,9.576979066,2.82E-80,4.563467563,6.81E-69,NA,NA,NA,NA
MEL-IPI_Pat90-TP-NB-SM-4DK3G-SM-4NFWM,35.28102898,0.070472318,0.006699246,242.9052982,52.03659519,1.01E-09,NA,NA,NA,NA
MEL-IPI_Pat98-TP-NT-SM-4CU6L-SM-53U4K,53.98739312,20.18854063,3.09E-30,4.47E-15,2.11E-05,3.917260314,NA,NA,NA,NA
MEL-IPI_Pat99-TP-NT-SM-4CU6M-SM-53U4L,7.419480322,8.774286432,13.26813592,2.80E-16,3.20E-25,4.02E-68,NA,NA,NA,NA
NR1867_T_N,9.015274991,88.67649084,5.26E-07,3.779259902,2.26E-48,6.64E-44,NA,NA,NA,NA
NR2137_T_N,1.78E-48,6.73E-07,7.15E-65,720.9375146,222.1387202,1.95124254,NA,NA,NA,NA
NR3549_T_N,1.33E-42,32.17245403,1.30E-63,382.877405,157.7288285,17.23266726,NA,NA,NA,NA
NR4018_T_N,2.70E-54,15.5881682,8.27E-59,120.7714364,64.31023118,8.93E-23,NA,NA,NA,NA
NR4045_T_N,3.81E-67,1.35E-09,1.07E-78,494.2698308,175.8807658,2.74E-16,NA,NA,NA,NA
NR4083_T_N,1.12E-39,0.005361423,1.61E-56,390.6485281,63.78623264,0.000547813,NA,NA,NA,NA
NR4631_T_N,1.18E-62,9.19E-11,1.40E-76,1496.059932,165.9763439,1.45E-14,NA,NA,NA,NA
NR4810_T_N,1.85E-36,36.00863408,4.34E-46,417.2046253,108.2005489,0.08294731,NA,NA,NA,NA
NR4949_T_N,4.60E-45,93.56835472,1.39E-55,513.944999,158.8733618,5.0544432,NA,NA,NA,NA
NR8815_T_N,8.90E-41,5.31E-05,2.70E-54,2121.673302,300.6158283,7.56E-08,NA,NA,NA,NA
NR9445_T_N,1.15E-27,32.01108353,8.23E-38,233.8916508,98.10537761,0.070902448,NA,NA,NA,NA
NR9449_T_N,1.42E-41,35.37582675,9.15E-40,323.8724629,52.04558316,0.048301434,NA,NA,NA,NA
NR9521_T_N,4.09E-51,0.000393534,2.15E-67,1185.520247,335.6547079,3.64E-06,NA,NA,NA,NA
NR9705_T_N,7.767835556,30.15699718,3.76E-08,9.16E-38,1.60E-17,2.034093205,NA,NA,NA,NA
NR9765_T_N,2.80E-16,42.98915738,7.51E-43,56.04409995,24.37647646,0.009357673,NA,NA,NA,NA
PR12117_T_N,1.97E-53,4.59E-07,2.96E-73,1224.580173,363.0929419,3.03E-09,NA,NA,NA,NA
PR4035_T_N,1.36E-37,32.51174254,2.16E-53,541.5628835,143.6960645,1.099622225,NA,NA,NA,NA
PR4046_T_N,3.133072914,13.31102311,3.30E-17,132.689993,24.04243852,5.351773773,NA,NA,NA,NA
PR4077_T_N,1.83E-50,8.52E-10,3.27E-63,2240.419771,325.1573944,1.72E-10,NA,NA,NA,NA
PR4091_T_N,9.04E-82,4.52E-12,3.64E-107,277.4913072,119.1628823,9.64E-08,NA,NA,NA,NA
PR4092_T_N,2.10E-110,1.36E-20,2.19E-103,16.56620271,5272.008937,7.33E-29,NA,NA,NA,NA
SD0346_T_N,1.70E-14,39.58728136,1.60E-27,625.0450128,139.7649767,4.155689672,NA,NA,NA,NA
SD1494_T_N,1.30E-47,0.000135205,2.38E-62,1016.528343,304.4214064,1.48E-08,NA,NA,NA,NA
SD2051_T_N,3.439227461,36.75500672,1.40E-14,0.083695854,7.591816132,3.70E-62,NA,NA,NA,NA
SD2056_T_N,5.72E-36,0.000506361,4.16E-42,143.2329085,65.78262019,2.629650138,NA,NA,NA,NA
SD5038_T_N,6.79E-52,27.53899809,3.89E-40,252.9595705,86.59201225,4.05323747,NA,NA,NA,NA
SD5118_T_N,13.50545259,74.82828554,2.538024156,3.810507435,2.23E-68,1.87E-23,NA,NA,NA,NA
SD5934_T_N,2.81E-49,26.97921257,4.20E-60,121.9635464,57.73487566,1.53E-07,NA,NA,NA,NA
SD6336_T_N,2.21E-25,67.87611716,3.26E-30,310.159445,158.9292341,6.92E-05,NA,NA,NA,NA
SD6494_T_N,2.68E-34,76.89676077,4.01E-41,675.7361048,142.1375216,0.808759025,NA,NA,NA,NA
SD7357_T_N,5.45E-61,1.04E-09,3.07E-73,1397.976853,373.3933026,1.08E-17,NA,NA,NA,NA
AL4602_T_N,8.20867083,56.59742034,NA,NA,NA,NA,5.288052426,153.1865033,1.648048362,NA
AU5884_T_N,19.45945015,31.53188823,NA,NA,NA,NA,8.678018746,66.02595942,3.687498353,NA
BL3403_T_N,87.25566463,18.22882419,NA,NA,NA,NA,3.526986368,3.61E-15,4.83E-07,NA
CA9903_T_N,19.52158958,117.1184509,NA,NA,NA,NA,17.87037063,267.8583352,10.65551157,NA
CANSEQU01-0100425-TP-NB-SM-6ZL67-SM-6ZL66,4.035293967,71.85533689,NA,NA,NA,NA,3.773644401,170.2761327,12.18570552,NA
CU9061_T_N,0.793537601,205.7810063,NA,NA,NA,NA,23.35931537,199.518035,11.47185596,NA
DI6359_T_N,27.32430376,120.3531116,NA,NA,NA,NA,7.44321269,161.4515508,3.046035802,NA
DM123062_T_N,10.83248846,116.1806355,NA,NA,NA,NA,12.7240682,0.001573871,13.40377922,NA
FR9547_T_N,16.20534916,61.50085376,NA,NA,NA,NA,17.16271308,257.2528593,0.000253224,NA
GR4788_T_N,3.281275017,56.15068867,NA,NA,NA,NA,3.290274612,52.92662242,3.536743783,NA
HE3202_T_N,21.80888302,127.7335955,NA,NA,NA,NA,113.556507,525.7293323,71.45769009,NA
JB112852_T_N,45.68797535,56.51126614,NA,NA,NA,NA,9.769810651,0.012228661,4.942791701,NA
KA3947_T_N,1.177875378,95.72939407,NA,NA,NA,NA,30.84002865,214.3482121,43.729448,NA
LO3793_T_N,21.58747522,31.2678593,NA,NA,NA,NA,10.75094674,5.104786336,26.65411921,NA
LO5004_T_N,14.23266935,27.07702792,NA,NA,NA,NA,0.450099091,19.01382804,8.032216936,NA
LUAD-BS-08-013532-TP-NT-SM-9J2Y1-SM-9J2Y2,0.002291946,113.8806765,NA,NA,NA,NA,3.808472382,106.239906,3.012785535,NA
LUAD-BS-10-J11656-TP-NT-SM-9J2Y7-SM-9J2Y8,7.837125349,100.6396755,NA,NA,NA,NA,1.098519469,183.0809954,13.30101925,NA
LUAD-BS-10-R22401-TP-NB-SM-9J2XK-SM-9HBZR,28.55902994,48.95622862,NA,NA,NA,NA,6.17714935,90.94717794,2.564818725,NA
LUAD-BS-11-F1305-TP-NT-SM-9J2XG-SM-9J2XH,51.22981426,45.05729095,NA,NA,NA,NA,4.283323357,2.130999959,5.057381882,NA
LUAD-BS-11-R21845-TP-NT-SM-9J2YH-SM-9J2YI,88.47175005,182.5756982,NA,NA,NA,NA,10.25106856,0.016505588,6.885976274,NA
LUAD-BS-12-R10269-TP-NB-SM-9J2XO-SM-9HBZT,29.7661972,75.44534257,NA,NA,NA,NA,17.07806292,320.084338,2.958476713,NA
LUAD-BS-12-X27523-TP-NT-SM-9J2Y5-SM-9J2Y6,13.79815969,118.7912214,NA,NA,NA,NA,18.90823937,3.33E-10,0.002047018,NA
LUAD-BS-13-F33496-TP-NB-SM-9J2XU-SM-9HBZX,37.08565177,153.4632493,NA,NA,NA,NA,34.10584413,0.068721323,11.56222118,NA
LUAD-BS-13-J60666-TP-NB-SM-9J2YL-SM-9HBZW,15.16579614,0.194533068,NA,NA,NA,NA,251.4574148,1.238774777,265.8244336,NA
LUAD-BS-13-N35728-TP-NB-SM-9J2XI-SM-9HBZQ,38.6824018,67.32131797,NA,NA,NA,NA,8.885775494,44.73107946,1.197302036,NA
LUAD-BS-13-X14864-TP-NB-SM-9J2XQ-SM-9HBZU,0.000415023,218.82026,NA,NA,NA,NA,121.9524987,659.8897836,228.7908435,NA
LUAD-BS-14-G65174-TP-NT-SM-9J2YF-SM-9J2YG,7.17E-14,146.0921166,NA,NA,NA,NA,12.10566463,170.6694497,8.987980997,NA
LUAD-BS-14-J45174-TP-NT-SM-9J2YJ-SM-9J2YK,12.62430568,141.8331008,NA,NA,NA,NA,38.12168002,7.91093481,38.42056472,NA
